TMZDIFF,WRITETIME,Node,Timestamp,CEC_name,CEC_Mfg,CEC_Model,CEC_SN,State,Num_Partitions,CPU_Total,CPU_allocated,CPU_unallocated,Total_Shared_CPUs,Total_Mem_MB,Allocated_Mem_MB,Unallocated_Mem_MB,Num_proc_pools,Num_mem_pools,CPU_Units_Used,CPU_Used_Pct,Firmware_Version,Dedicated_CPU_Units_Used,Dedicated_CPU_Used_Pct,Shared_CPU_Units_Used,Shared_CPU_Used_Pct,Sample_Timestamp,Sample_Interval,ICDIS,IMDIS,IPDIS,Subnode_MSN,Total_Installed_CPUs,Total_Installed_Memory_MB
21600,1170103001532002,pshmc03:aixdc148:PH,1170103001531000,P550CEC6-R155-SN10D987E,IBM,9113-550,10D987E,4,0,0,0,0,0,0,0,0,0,0,-1,-1,"unavailable,unavailable",-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:pshmc03-9113-550_10D987E:SVR,-1,-1
21600,1170103001532003,pshmc03:aixdc148:PH,1170103001531000,P55ACEC6-R155-SN10BCC1G,IBM,9133-55A,10BCC1G,0,1,4,4,0,0,8192,8192,0,0,0,-1,-1,"358,01SF240",-1,-1,-1,-1,NoSamples,300,1,1,0,PH:pshmc03-9133-55A_10BCC1G:SVR,4,8192
21600,1170103000032000,pshmc03:aixdc148:PH,1170103000031000,P55ACEC7-R155-SN10BCC4G,IBM,9133-55A,10BCC4G,0,1,4,2,2,2,24576,6720,17856,0,0,0.04,1.1,"358,01SF240",0,0,0.04,1.1,2017-01-02 23:50:58 GMT-06:00,300,1,1,1,PH:pshmc03-9133-55A_10BCC4G:SVR,4,24576
21600,1170103000032001,pshmc03:aixdc148:PH,1170103000031000,P550CEC15-R164-SN06C4EFA,IBM,9113-550,06C4EFA,0,2,4,4,0,4,16384,16384,0,0,0,0.16,3.9,"338,01SF240",0,0,0.16,3.9,2017-01-02 23:56:03 GMT-06:00,300,1,1,1,PH:pshmc03-9113-550_06C4EFA:SVR,4,16384
21600,1170103000032002,pshmc03:aixdc148:PH,1170103000031000,P550CEC6-R155-SN10D987E,IBM,9113-550,10D987E,4,0,0,0,0,0,0,0,0,0,0,-1,-1,"unavailable,unavailable",-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:pshmc03-9113-550_10D987E:SVR,-1,-1
21600,1170103000032003,pshmc03:aixdc148:PH,1170103000031000,P55ACEC6-R155-SN10BCC1G,IBM,9133-55A,10BCC1G,0,1,4,4,0,0,8192,8192,0,0,0,-1,-1,"358,01SF240",-1,-1,-1,-1,NoSamples,300,1,1,0,PH:pshmc03-9133-55A_10BCC1G:SVR,4,8192
21600,1170103001532000,pshmc03:aixdc148:PH,1170103001531000,P55ACEC7-R155-SN10BCC4G,IBM,9133-55A,10BCC4G,0,1,4,2,2,2,24576,6720,17856,0,0,0.18,4.5,"358,01SF240",0,0,0.18,4.5,2017-01-03 00:10:10 GMT-06:00,300,1,1,1,PH:pshmc03-9133-55A_10BCC4G:SVR,4,24576
21600,1170103001532001,pshmc03:aixdc148:PH,1170103001531000,P550CEC15-R164-SN06C4EFA,IBM,9113-550,06C4EFA,0,2,4,4,0,4,16384,16384,0,0,0,0.25,6.4,"338,01SF240",0,0,0.25,6.4,2017-01-03 00:10:11 GMT-06:00,300,1,1,1,PH:pshmc03-9113-550_06C4EFA:SVR,4,16384
21600,1170103003032000,pshmc03:aixdc148:PH,1170103003031000,P55ACEC6-R155-SN10BCC1G,IBM,9133-55A,10BCC1G,0,1,4,4,0,0,8192,8192,0,0,0,-1,-1,"358,01SF240",-1,-1,-1,-1,NoSamples,300,1,1,0,PH:pshmc03-9133-55A_10BCC1G:SVR,4,8192
21600,1170103003032001,pshmc03:aixdc148:PH,1170103003031000,P550CEC15-R164-SN06C4EFA,IBM,9113-550,06C4EFA,0,2,4,4,0,4,16384,16384,0,0,0,0.15,3.7,"338,01SF240",0,0,0.15,3.7,2017-01-03 00:20:21 GMT-06:00,300,1,1,1,PH:pshmc03-9113-550_06C4EFA:SVR,4,16384
21600,1170103003032002,pshmc03:aixdc148:PH,1170103003031000,P55ACEC7-R155-SN10BCC4G,IBM,9133-55A,10BCC4G,0,1,4,2,2,2,24576,6720,17856,0,0,0.05,1.3,"358,01SF240",0,0,0.05,1.3,2017-01-03 00:25:24 GMT-06:00,300,1,1,1,PH:pshmc03-9133-55A_10BCC4G:SVR,4,24576
21600,1170103003032003,pshmc03:aixdc148:PH,1170103003031000,P550CEC6-R155-SN10D987E,IBM,9113-550,10D987E,4,0,0,0,0,0,0,0,0,0,0,-1,-1,"unavailable,unavailable",-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:pshmc03-9113-550_10D987E:SVR,-1,-1
21600,1170103000034000,achmc01:aixdc127:PH,1170103000033000,DC870CEC03-R4032-SN103BBB7-VF4,IBM,9119-MME,103BBB7,0,0,8,5.5,2.5,0,0,0,0,0,0,-1,-1,"104,01SC840",-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:achmc01-9119-MME_103BBB7:SVR,64,-1
21600,1170103000034001,achmc01:aixdc127:PH,1170103000033000,AC870CEC01-R704-SN219F1D7-VF5,IBM,9119-MME,219F1D7,0,0,29,27.7,1.3,0,1036288,957440,78848,0,0,-1,-1,"68,01SC830",-1,-1,-1,-1,NoSamples,300,1,1,0,PH:achmc01-9119-MME_219F1D7:SVR,64,2097152
21600,1170103000034002,achmc01:aixdc127:PH,1170103000033000,AC770CEC01-R706-SN107B2C7,IBM,9117-MMD,107B2C7,0,0,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:achmc01-9117-MMD_107B2C7:SVR,-1,-1
21600,1170103000034003,achmc01:aixdc127:PH,1170103000033000,AC870CEC02-R903-SN219F1C7-VF5,IBM,9119-MME,219F1C7,0,0,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:achmc01-9119-MME_219F1C7:SVR,-1,-1
21600,1170103000034004,achmc01:aixdc127:PH,1170103000033000,DC870CEC02-R3832-SN063DE87-VF4,IBM,9119-MME,063DE87,0,0,0,0,0,0,0,0,0,0,0,-1,-1,NotCollected,-1,-1,-1,-1,NoSamples,-1,1,1,0,PH:achmc01-9119-MME_063DE87:SVR,-1,-1
